Tuple 4 not produced, now producing tuple
Tuple 163 not produced, now producing tuple
Tuple 151 not produced, now producing tuple
Tuple 16 successfully produced
Tuple 167 not produced, now producing tuple
Tuple 153 not produced, now producing tuple
Tuple 168 not produced, now producing tuple
Tuple 8 successfully produced
Tuple 172 not produced, now producing tuple
Tuple 17 successfully produced
ducing tuple
Tuple 156 not produced, now producing tuple
Tuple 161 not produced, now producing tuple
Tuple 164 not produced, now producing tuple
Tuple 170 not produced, now producing tuple
Tuple 146 not produced, now producing tuple
Tuple 174 not produced, now producing tuple
Tuple 165 not produced, now producing tuple
Tuple 166 not produced, now producing tuple
Tuple 181 not produced, now producing tuple
Tuple 49 successfully produced
Tuple 169 not produced, now producing tuple
Tuple 182 not produced, now producing tuple
Tuple 171 not produced, now producing tuple
Tuple 50 successfully produced
Tuple 186 not produced, now producing tuple
Tuple 12 successfully produced
ducing tuple
Tuple 178 not produced, now producing tuple
Tuple 179 not produced, now producing tuple
Tuple 162 not produced, now producing tuple
Tuple 177 not produced, now producing tuple
Tuple 19 successfully produced
ducing tuple
Tuple 6 successfully produced
oducing tuple
Tuple 183 not produced, now producing tuple
Tuple 41 successfully produced
Tuple 196 not produced, now producing tuple
Tuple 180 not produced, now producing tuple
Tuple 198 not produced, now producing tuple
Tuple 191 not produced, now producing tuple
Tuple 39 successfully produced
Tuple 188 not produced, now producing tuple
Tuple 193 not produced, now producing tuple
Tuple 176 not produced, now producing tuple
Tuple 194 not produced, now proTuple 206 not produced, now producing tuple
Tuple 52 successfully produced
Tuple 201 not produced, now producing tuple
Tuple 45 successfully produced
Tuple 200 not produced, now producing tuple
Tuple 202 not produced, now producing tuple
Tuple 203 not produced, now producing tuple
Tuple 205 not produced, now producing tuple
Tuple 197 not produced, now producing tuple
Tuple 76 successfully produced
Tuple 215 not produced, now producing tuple
Tuple 209 not produced, now producing tuple
Tuple 68 successfully produced
Tuple 210 not produced, now producing tuple
Tuple 204 not produced, now producing tuple
Tuple 189 not produced, now producing tuple
Tuple 213 not produced, now producing tuple
Tuple 199 not produced, now producing tuple
Tuple 208 not produced, now producing tuple
Tuple 211 not produced, now producing tuple
Tuple 219 not produced, now producing tuple
Tuple 212 not produced, now producing tuple
Tuple 72 successfully produced
Tuple 226 not produced, now producing tuple
Tuple 214 not produced, now producing tuple
Tuple 34 successfully produced
Tuple 225 not produced, now producing tuple
Tuple 221 not produced, now producing tuple
Tuple 29 successfully produced
Tuple 79 successfully produced
Tuple 220 not produced, now producing tuple
Tuple 224 not produced, now producing tuple
Tuple 227 not produced, now producing tuple
Tuple 101 successfully produced
Tuple 61 successfully produced
Tuple 207 not produced, now producing tuple
Tuple 28 successfully produced
Tuple 231 not produced, now producing tuple
Tuple 222 not produced, now producing tuple
Tuple 30 successfully produced
Tuple 216 not produced, now producing tuple
Tuple 228 not produced, now producing tuple
Tuple 233 not produced, now producing tuple
Tuple 230 not produced, now producing tuple
Tuple 63 successfully produced
Tuple 234 not produced, now producing tuple
Tuple 3 successfully produced
d
Tuple 235 not produced, now producing tuple
Tuple 2 successfully produced
Tuple 236 not produced, now producing tuple
Tuple 62 successfully produced
ducing tuple
Tuple 229 not produced, now producing tuple
Tuple 4 successfully produced
Tuple 237 not produced, now producing tuple
Tuple 223 not produced, now producing tuple
Tuple 238 not produced, now producing tuple
Tuple 243 not produced, now producing tuple
Tuple 251 not produced, now producing tuple
Tuple 247 not produced, now producing tuple
Tuple 33 successfully produced
Tuple 246 not produced, now producing tuple
Tuple 244 not produced, now producing tuple
Tuple 241 not produced, now producing tuple
Tuple 232 not produced, now producing tuple
Tuple 250 not produced, now producing tuple
Tuple 245 not produced, now producing tuple
Tuple 59 successfully produced
Tuple 249 not produced, now producing tuple
Tuple 254 not produced, now producing tuple
Tuple 38 successfully produced
Tuple 89 successfully produced
Tuple 252 not produced, now producing tuple
Tuple 104 successfully produced
Tuple 253 not produced, now producing tuple
Tuple 94 successfully produced
Tuple 18 successfully produced
Tuple 258 not produced, now producing tuple
Tuple 257 not produced, now producing tuple
Tuple 10 successfully produced
Tuple 14 successfully produced
Tuple 13 successfully produced
Tuple 259 not produced, now producing tuple
Tuple 260 not produced, now producing tuple
Tuple 240 not produced, now producing tuple
Tuple 266 not produced, now producing tuple
Tuple 255 not produced, now producing tuple
Tuple 248 not produced, now producing tuple
Tuple 122 successfully produced
Tuple 263 not produced, now producing tuple
Tuple 37 successfully produced
ducing tuple
Tuple 36 successfully produced
Tuple 46 successfully produced
Tuple 267 not produced, now producing tuple
Tuple 265 not produced, now producing tuple
Tuple 120 successfully produced
Tuple 124 successfully producedTuple 262 not produced, now producing tuple
Tuple 47 successfully produced
Tuple 20 successfully produced
ducing tuple
Tuple 7 successfully produced
Tuple 275 not produced, now producing tuple
Tuple 43 successfully produced
Tuple 53 successfully produced
Tuple 268 not produced, now producing tuple
Tuple 9 successfully produced

Tuple 15 successfully produced
ducing tuple
Tuple 24 successfully produced
Tuple 21 successfully produced
ducing tuple
Tuple 273 not produced, now producing tuple
Tuple 281 not produced, now producing tuple
Tuple 256 not produced, now producing tuple
Tuple 22 successfully produced
ducing tuple
Tuple 264 not produced, now producing tuple
Tuple 279 not produced, now producing tuple
Tuple 278 not produced, now producing tuple
Tuple 282 not produced, now producing tuple
Tuple 42 successfully produced
Tuple 84 successfully produced
Tuple 283 not produced, now producing tuple
Tuple 140 successfully produced
Tuple 291 not produced, now producing tuple
Tuple 290 not produced, now producing tuple
Tuple 57 successfully produced
Tuple 112 successfully produced
Tuple 44 successfully produced
Tuple 11 successfully produced
Tuple 272 not produced, now producing tuple
Tuple 287 not produced, now producing tuple
Tuple 48 successfully produced
Tuple 118 successfully produced
Tuple 115 successfully produced
Tuple 73 successfully produced
Tuple 296 not produced, now producing tuple
Tuple 297 not produced, now producing tuple
Tuple 295 not produced, now producing tuple
Tuple 284 not produced, now producing tuple
Tuple 294 not produced, now producing tuple
Tuple 78 successfully produced
Tuple 111 successfully produced
Tuple 280 not produced, now producing tuple
Tuple 298 not produced, now producing tuple
Tuple 299 not produced, now producing tuple
Tuple 55 successfully produced
Tuple 301 not produced, now producing tuple
Tuple 70 successfully produced
ducing tuple
Tuple 23 successfully produced
Tuple 288 not produced, now producing tuple
Tuple 307 not produced, now producing tuple
Tuple 308 not produced, now producing tuple
Tuple 293 not produced, now producing tuple
Tuple 300 not produced, now producing tuple
Tuple 304 not produced, now producing tuple
Tuple 302 not produced, now producing tuple
Tuple 131 successfully produced
Tuple 292 not produced, now producing tuple
Tuple 83 successfully produced

Tuple 40 successfully produced
Tuple 74 successfully produced
Tuple 135 successfully produced
Tuple 305 not produced, now producing tuple
Tuple 80 successfully produced
Tuple 309 not produced, now producing tuple
Tuple 311 not produced, now producing tuple
Tuple 310 not produced, now producing tuple
Tuple 306 not produced, now producing tuple
Tuple 81 successfully produced
ducing tuple
Tuple 312 not produced, now producing tuple
Tuple 134 successfully produced
Tuple 321 not produced, now producing tuple
Tuple 315 not produced, now producing tuple
Tuple 109 successfully produced
ucing tuple
Tuple 314 not produced, now producing tuple
Tuple 316 not produced, now producing tuple
Tuple 322 not produced, now producing tuple
Tuple 69 successfully produced
Tuple 327 not produced, now producing tuple
Tuple 317 not produced, now producing tuple
Tuple 319 not produced, now producing tuple
Tuple 75 successfully produced
Tuple 31 successfully produced

ucing tuple
Tuple 330 not produced, now producing tuple
Tuple 323 not produced, now producing tuple
Tuple 329 not produced, now producing tuple
Tuple 325 not produced, now producing tuple
Tuple 97 successfully produced
Tuple 150 successfully produced
Tuple 71 successfully produced
Tuple 82 successfully produced
Tuple 105 successfully produced
Tuple 328 not produced, now producing tuple
Tuple 95 successfully produced
Tuple 147 successfully produced
Tuple 64 successfully produced
Tuple 25 successfully produced

Tuple 336 not produced, now producing tuple
Tuple 331 not produced, now producing tuple
Tuple 334 not produced, now producing tuple
Tuple 92 successfully produced
Tuple 149 successfully produced
Tuple 339 not produced, now producing tuple
Tuple 335 not produced, now producing tuple
Tuple 153 successfully produced
ucing tuple
Tuple 163 successfully produced
Tuple 333 not produced, now producing tuple
Tuple 91 successfully produced

ucing tuple
Tuple 344 not produced, now producing tuple
Tuple 60 successfully produced
ducing tuple
Tuple 337 not produced, now producing tuple
Tuple 27 successfully produced
Tuple 164 successfully produced
Tuple 178 successfully produced
Tuple 346 not produced, now producing tuple
Tuple 93 successfully produced
ducing tuple
Tuple 96 successfully produced
ducing tuple
Tuple 347 not produced, now producing tuple
Tuple 351 not produced, now producing tuple
Tuple 106 successfully produced
Tuple 123 successfully produced
Tuple 348 not produced, now producing tuple
Tuple 354 not produced, now producing tuple
Tuple 119 successfully produced
Tuple 169 successfully produced
ucing tuple
Tuple 171 successfully produced
Tuple 358 not produced, now producing tuple
Tuple 352 not produced, now producing tuple
Tuple 128 successfully produced
Tuple 116 successfully produced
Tuple 362 not produced, now producing tuple
Tuple 107 successfully produced
Tuple 125 successfully produced
ucing tuple
Tuple 179 successfully produced
Tuple 357 not produced, now producing tuple
Tuple 126 successfully produced
ucing tuple
Tuple 190 successfully produced
ucing tuple
Tuple 177 successfully produced
Tuple 359 not produced, now producing tuple
Tuple 360 not produced, now producing tuple
Tuple 100 successfully produced
Tuple 183 successfully produced
Tuple 117 successfully produced
ucing tuple
Tuple 363 not produced, now producing tuple
Tuple 370 not produced, now producing tuple
Tuple 371 not produced, now producing tuple
Tuple 175 successfully produced
Tuple 374 not produced, now producing tuple
Tuple 369 not produced, now producing tuple
Tuple 377 not produced, now producing tuple
Tuple 373 not produced, now producing tuple
Tuple 372 not produced, now producing tuple
Tuple 219 successfully produced
Tuple 110 successfully produced
Tuple 113 successfully produced
ucing tuple
Tuple 121 successfully produced
Tuple 378 not produced, now producing tuple
Tuple 380 not produced, now producing tuple
Tuple 203 successfully produced
Tuple 127 successfully produced
Tuple 137 successfully produced
Tuple 210 successfully produced
Tuple 194 successfully produced
Tuple 384 not produced, now producing tuple
Tuple 381 not produced, now producing tuple
Tuple 385 not produced, now producing tuple
Tuple 389 not produced, now producing tuple
Tuple 141 successfully produced
Tuple 379 not produced, now producing tuple
Tuple 388 not produced, now producing tuple
Tuple 392 not produced, now producing tuple
Tuple 136 successfully produced
ucing tuple
Tuple 188 successfully produced
Tuple 209 successfully produced
Tuple 208 successfully produced
Tuple 152 successfully produced
Tuple 391 not produced, now producing tuple
Tuple 160 successfully produced
ucing tuple
Tuple 143 successfully produced
Tuple 390 not produced, now producing tuple
Tuple 393 not produced, now producing tuple
Tuple 227 successfully produced
ucing tuple
Tuple 212 successfully produced
ucing tuple
Tuple 402 not produced, now producing tuple
Tuple 399 not produced, now producing tuple
Tuple 217 successfully produced
ucing tuple
Tuple 405 not produced, now producing tuple
Tuple 398 not produced, now producing tuple
Tuple 403 not produced, now producing tuple
Tuple 158 successfully produced
Tuple 155 successfully produced
Tuple 221 successfully produced
Tuple 167 successfully produced
Tuple 401 not produced, now producing tuple
Tuple 404 not produced, now producing tuple
Tuple 406 not produced, now producing tuple
Tuple 172 successfully produced
Tuple 407 not produced, now producing tuple
Tuple 130 successfully produced
Tuple 409 not produced, now producing tuple
Tuple 213 successfully produced
Tuple 146 successfully produced
Tuple 239 successfully produced
Tuple 204 successfully produced
Tuple 412 not produced, now producing tuple
Tuple 408 not produced, now producing tuple
Tuple 151 successfully produced
ucing tuple
Tuple 231 successfully produced
Tuple 170 successfully produced
Tuple 187 successfully produced
Tuple 413 not produced, now producing tuple
Tuple 222 successfully produced
ucing tuple
Tuple 236 successfully produced
Tuple 414 not produced, now producing tuple
Tuple 416 not produced, now producing tuple
Tuple 251 successfully produced
ucing tuple
Tuple 162 successfully produced
ucing tuple
Tuple 235 successfully produced
Tuple 246 successfully produced
Tuple 166 successfully produced
Tuple 418 not produced, now producing tuple
Tuple 229 successfully produced
ucing tuple
Tuple 228 successfully produced
Tuple 419 not produced, now producing tuple
Tuple 238 successfully produced
Tuple 224 successfully produced
Tuple 422 not produced, now producing tuple
Tuple 420 not produced, now producing tuple
Tuple 181 successfully produced
ucing tuple
Tuple 241 successfully produced
ucing tuple
Tuple 428 not produced, now producing tuple
Tuple 425 not produced, now producing tuple
Tuple 159 successfully produced
ucing tuple
Tuple 249 successfully produced
Tuple 173 successfully produced
Tuple 429 not produced, now producing tuple
Tuple 431 not produced, now producing tuple
Tuple 244 successfully produced
ucing tuple
Tuple 132 successfully produced
Tuple 253 successfully produced
Tuple 154 successfully produced
Tuple 260 successfully produced
Tuple 252 successfully produced
Tuple 180 successfully produced
Tuple 438 not produced, now producing tuple
Tuple 432 not produced, now producing tuple
Tuple 434 not produced, now producing tuple
Tuple 257 successfully produced
Tuple 184 successfully produced
Tuple 267 successfully produced
Tuple 440 not produced, now producing tuple
Tuple 441 not produced, now producing tuple
Tuple 435 not produced, now producing tuple
Tuple 437 not produced, now producing tuple
Tuple 261 successfully produced
Tuple 439 not produced, now producing tuple
Tuple 195 successfully produced
ucing tuple
Tuple 268 successfully produced
ucing tuple
Tuple 275 successfully produced
Tuple 276 successfully produced
Tuple 176 successfully produced
Tuple 205 successfully produced
Tuple 193 successfully produced
Tuple 255 successfully produced
Tuple 443 not produced, now producing tuple
Tuple 449 not produced, now producing tuple
Tuple 198 successfully produced
ucing tuple
Tuple 445 not produced, now producing tuple
Tuple 263 successfully produced
ucing tuple
Tuple 186 successfully produced
Tuple 269 successfully produced
Tuple 189 successfully produced
Tuple 448 not produced, now producing tuple
Tuple 452 not produced, now producing tuple
Tuple 455 not produced, now producing tuple
Tuple 444 not produced, now producing tuple
Tuple 285 successfully produced
ucing tuple
Tuple 283 successfully produced
ucing tuple
Tuple 281 successfully produced
ucing tuple
Tuple 279 successfully produced
Tuple 271 successfully produced
Tuple 458 not produced, now producing tuple
Tuple 466 not produced, now producing tuple
Tuple 461 not produced, now producing tuple
Tuple 463 not produced, now producing tuple
Tuple 468 not produced, now producing tuple
Tuple 291 successfully produced
ucing tuple
Tuple 460 not produced, now producing tuple
Tuple 211 successfully produced
ucing tuple
Tuple 214 successfully produced
ucing tuple
Tuple 464 not produced, now producing tuple
Tuple 168 successfully produced
ucing tuple
Tuple 453 not produced, now producing tuple
Tuple 462 not produced, now producing tuple
Tuple 199 successfully produced
Tuple 294 successfully produced
Tuple 284 successfully produced
Tuple 225 successfully produced
Tuple 182 successfully produced
Tuple 196 successfully produced
Tuple 202 successfully produced
Tuple 467 not produced, now producing tuple
Tuple 471 not produced, now producing tuple
Tuple 473 not produced, now producing tuple
Tuple 289 successfully produced
ucing tuple
Tuple 234 successfully produced
ucing tuple
Tuple 297 successfully produced
Tuple 220 successfully produced
Tuple 287 successfully produced
Tuple 482 not produced, now producing tuple
Tuple 230 successfully produced
ucing tuple
Tuple 475 not produced, now producing tuple
Tuple 484 not produced, now producing tuple
Tuple 206 successfully produced
ucing tuple
Tuple 469 not produced, now producing tuple
Tuple 308 successfully produced
ucing tuple
Tuple 310 successfully produced
ucing tuple
Tuple 478 not produced, now producing tuple
Tuple 481 not produced, now producing tuple
Tuple 299 successfully produced
Tuple 207 successfully produced
Tuple 216 successfully produced
Tuple 312 successfully produced
ucing tuple
Tuple 237 successfully produced
ucing tuple
Tuple 487 not produced, now producing tuple
Tuple 223 successfully produced
Tuple 305 successfully produced
Tuple 316 successfully produced
Tuple 318 successfully produced
ucing tuple
Tuple 498 not produced, now producing tuple
Tuple 215 successfully produced
ucing tuple
Tuple 250 successfully produced
ucing tuple
Tuple 254 successfully produced
ucing tuple
Tuple 306 successfully produced
ucing tuple
Tuple 499 not produced, now producing tuple
Tuple 490 not produced, now producing tuple
Tuple 309 successfully produced
Tuple 300 successfully produced
Tuple 293 successfully produced
Tuple 266 successfully produced
Tuple 311 successfully produced
Tuple 336 successfully produced
Tuple 292 successfully produced
Tuple 232 successfully produced
Tuple 323 successfully produced
Tuple 328 successfully produced
Tuple 270 successfully produced
Tuple 338 successfully produced
Tuple 248 successfully produced
Tuple 327 successfully produced
Tuple 344 successfully produced
Tuple 240 successfully produced
Tuple 262 successfully produced
Tuple 226 successfully produced
Tuple 302 successfully produced
Tuple 331 successfully produced
Tuple 258 successfully produced
Tuple 329 successfully produced
Tuple 286 successfully produced
Tuple 245 successfully produced
Tuple 278 successfully produced
Tuple 347 successfully produced
Tuple 317 successfully produced
Tuple 256 successfully produced
Tuple 264 successfully produced
Tuple 274 successfully produced
Tuple 295 successfully produced
Tuple 351 successfully produced
Tuple 339 successfully produced
Tuple 341 successfully produced
Tuple 353 successfully produced
Tuple 282 successfully produced
Tuple 373 successfully produced
Tuple 369 successfully produced
Tuple 365 successfully produced
Tuple 342 successfully produced
Tuple 272 successfully produced
Tuple 280 successfully produced
Tuple 290 successfully produced
Tuple 348 successfully produced
Tuple 337 successfully produced
Tuple 288 successfully produced
Tuple 352 successfully produced
Tuple 389 successfully produced
Tuple 385 successfully produced
Tuple 298 successfully produced
Tuple 381 successfully produced
Tuple 324 successfully produced
Tuple 359 successfully produced
Tuple 346 successfully produced
Tuple 333 successfully produced
Tuple 304 successfully produced
Tuple 332 successfully produced
Tuple 320 successfully produced
Tuple 350 successfully produced
Tuple 343 successfully produced
Tuple 307 successfully produced
Tuple 315 successfully produced
Tuple 355 successfully produced
Tuple 368 successfully produced
Tuple 360 successfully produced
Tuple 364 successfully produced
Tuple 356 successfully produced
Tuple 313 successfully produced
Tuple 393 successfully produced
Tuple 349 successfully produced
Tuple 321 successfully produced
Tuple 382 successfully produced
Tuple 383 successfully produced
Tuple 397 successfully produced
Tuple 387 successfully produced
Tuple 375 successfully produced
Tuple 386 successfully produced
Tuple 390 successfully produced
Tuple 363 successfully produced
Tuple 380 successfully produced
Tuple 358 successfully produced
Tuple 379 successfully produced
Tuple 372 successfully produced
Tuple 362 successfully produced
Tuple 354 successfully produced
Tuple 395 successfully produced
Tuple 409 successfully produced
Tuple 326 successfully produced
Tuple 406 successfully produced
Tuple 376 successfully produced
Tuple 391 successfully produced
Tuple 398 successfully produced
Tuple 404 successfully produced
Tuple 394 successfully produced
Tuple 374 successfully produced
Tuple 400 successfully produced
Tuple 392 successfully produced
Tuple 370 successfully produced
Tuple 411 successfully produced
Tuple 366 successfully produced
Tuple 408 successfully produced
Tuple 425 successfully produced
Tuple 403 successfully produced
Tuple 384 successfully produced
Tuple 401 successfully produced
Tuple 413 successfully produced
Tuple 407 successfully produced
Tuple 412 successfully produced
Tuple 416 successfully produced
Tuple 426 successfully produced
Tuple 422 successfully produced
Tuple 410 successfully produced
Tuple 424 successfully produced
Tuple 402 successfully produced
Tuple 421 successfully produced
Tuple 414 successfully produced
Tuple 417 successfully produced
Tuple 396 successfully produced
Tuple 399 successfully produced
Tuple 405 successfully produced
Tuple 428 successfully produced
Tuple 419 successfully produced
Tuple 418 successfully produced
Tuple 431 successfully produced
Tuple 441 successfully produced
Tuple 433 successfully produced
Tuple 429 successfully produced
Tuple 440 successfully produced
Tuple 427 successfully produced
Tuple 444 successfully produced
Tuple 432 successfully produced
Tuple 415 successfully produced
Tuple 436 successfully produced
Tuple 442 successfully produced
Tuple 434 successfully produced
Tuple 448 successfully produced
Tuple 438 successfully produced
Tuple 447 successfully produced
Tuple 455 successfully produced
Tuple 446 successfully produced
Tuple 439 successfully produced
Tuple 423 successfully produced
Tuple 443 successfully produced
Tuple 454 successfully produced
Tuple 458 successfully produced
Tuple 460 successfully produced
Tuple 450 successfully produced
Tuple 445 successfully produced
Tuple 462 successfully produced
Tuple 452 successfully produced
Tuple 456 successfully produced
Tuple 451 successfully produced
Tuple 435 successfully produced
Tuple 468 successfully produced
Tuple 453 successfully produced
Tuple 463 successfully produced
Tuple 471 successfully produced
Tuple 449 successfully produced
Tuple 479 successfully produced
Tuple 473 successfully produced
Tuple 464 successfully produced
Tuple 459 successfully produced
Tuple 437 successfully produced
Tuple 482 successfully produced
Tuple 457 successfully produced
Tuple 481 successfully produced
Tuple 483 successfully produced
Tuple 478 successfully produced
Tuple 466 successfully produced
Tuple 500 successfully produced
Tuple 472 successfully produced
Tuple 470 successfully produced
Tuple 475 successfully produced
Tuple 465 successfully produced
Tuple 484 successfully produced
Tuple 489 successfully produced
Tuple 492 successfully produced
Tuple 474 successfully produced
Tuple 467 successfully produced
Tuple 461 successfully produced
Tuple 498 successfully produced
Tuple 499 successfully produced
Tuple 480 successfully produced
Tuple 486 successfully produced
Tuple 487 successfully produced
Tuple 495 successfully produced
Tuple 494 successfully produced
Tuple 490 successfully produced
Tuple 477 successfully produced
Tuple 491 successfully produced
Tuple 493 successfully produced
Tuple 497 successfully produced
Tuple 488 successfully produced
Tuple 485 successfully produced
Tuple 469 successfully produced
Tuple 476 successfully produced
